t,local_min
1986-03-28,12.681892695539819
1986-07-11,12.569970265029154
1986-10-17,14.851109243697557
1987-03-06,18.043966386554715
1987-10-02,19.615504848093188
1988-03-04,16.437862960568932
1988-10-21,13.876274078862387
1989-08-18,18.90523076923087
1989-10-27,19.95165610859739
1990-06-15,16.931693600517217
1991-03-15,19.864096961861772
1991-06-21,20.689397543632946
1992-01-31,18.817732385261895
1992-08-14,21.568404654169477
1993-01-01,19.296321913380837
1993-08-27,17.783229476406042
1994-01-07,14.752249515190769
1994-03-04,14.698736910148755
1994-09-23,17.53941435035562
1994-12-16,17.472010342598672
1995-07-21,17.592371040724075
1995-10-20,17.650857142857237
1996-01-26,18.818518422753815
1996-06-21,20.762704589528227
1996-11-08,24.29898901098914
1997-04-18,20.165173884938696
1997-07-04,19.579879767291633
1998-04-03,15.311199741435118
1998-07-31,13.802126696832651
1998-12-25,11.755953458306461
2000-04-21,26.975170006464268
2000-07-21,30.484405946994343
2001-01-12,29.14443438914042
2001-04-06,27.361512605042165
2001-07-13,26.870028442146236
2001-12-14,19.45247188106022
2002-06-14,26.104021978022114
2002-11-15,27.18837104072412
2003-05-02,28.10591467356188
2003-09-26,29.421852617970423
2004-06-18,38.97493341952186
2004-12-24,44.53262314156456
2005-05-06,51.36043956043983
2005-11-25,58.84523076923108
2006-03-03,62.397557853911124
2006-11-03,58.98836457660019
2007-01-26,56.725809954751426
2008-01-11,92.54779702650339
2009-01-23,39.669945701357676
2009-07-10,67.08588752424082
2009-12-18,76.25069295410512
2010-06-11,74.10821460892089
2010-09-03,75.7805817711704
2011-09-23,84.74357853910841
2012-06-29,84.66395475113168
2012-11-23,86.74150484809354
2013-04-12,92.81479896574065
2013-11-29,95.39679250161655
2014-04-04,101.49610730446078
2015-02-06,48.51635681965119
2015-08-28,44.24582805429888
2016-02-05,31.248773109243864
2016-08-12,44.25021848739519
2016-10-28,47.5814156431806
2017-06-30,45.86159663865571
2018-03-02,62.545698771816745
2018-08-17,68.99826115061447
2018-12-28,49.46389915966412
2019-07-26,56.080839043309936
2019-08-23,55.99239632776198
