t,local_max
1986-05-23,14.451634130575385
1986-09-19,15.10383193277319
1987-01-30,18.24176858435692
1987-07-24,21.020893341952277
1987-10-09,19.632009049773863
1988-05-06,17.689382029735064
1989-04-28,20.644567550097072
1989-10-20,19.959502262443543
1990-01-26,22.568072398190164
1990-10-12,35.61689334195236
1991-05-10,21.05017323852629
1991-10-25,23.01200000000012
1992-06-26,22.05529799612164
1992-09-25,21.81621590174543
1993-03-19,20.323482870071214
1993-10-01,17.924802844214707
1994-01-28,14.831639301874674
1994-07-08,19.502612798965842
1994-10-28,17.83511700064651
1995-05-05,19.83444602456378
1995-09-08,18.09835552682621
1995-12-29,18.979048480930935
1996-04-12,22.702237879767413
1996-10-18,24.419617323852748
1997-01-03,25.25708338720117
1997-05-09,20.279793148028546
1997-10-17,20.875591467356287
1998-04-17,15.34454298642542
1998-10-02,14.80459599224313
2000-02-25,29.808792501616193
2000-06-23,31.015420814479803
2000-10-27,33.67886360698144
2001-02-02,29.40892307692323
2001-05-25,28.311366515837257
2001-08-17,27.153457013574805
2002-05-03,26.629605688429358
2002-09-20,29.51081965093746
2003-02-21,35.23169489334214
2003-07-25,31.0890368455076
2004-05-28,39.154139625081015
2004-10-22,50.95244473173913
2005-03-25,53.47027020038813
2005-09-09,65.45067356173274
2006-01-27,63.61937815126084
2006-07-21,74.00272786037532
2006-12-01,60.035326438267944
2007-12-07,93.5773665158376
2008-06-27,134.97959534583137
2009-07-03,67.16524499030416
2009-11-13,76.94844473173926
2010-04-02,82.67702908855894
2010-07-30,77.02363930187501
2011-04-15,106.87945701357523
2012-03-23,105.5046541693606
2012-08-31,94.67656108597336
2013-02-08,95.01572850678784
2013-08-30,107.0507110536528
2014-03-28,101.49708597285121
2014-06-20,104.95257401422164
2015-05-29,59.5735164835168
2015-10-09,45.835409179056484
2016-06-10,48.261204912734584
2016-10-14,47.601043309631805
2017-01-20,53.04563283775076
2018-02-02,62.85301616031061
2018-07-13,69.90675630252139
2018-09-28,70.9093548804141
2019-04-19,62.56126696832613
2019-08-02,56.08526262812842
2019-09-06,56.0139817208935
