Date,Smooth
1986-01-03,26.738786845507438
1986-01-10,24.942265352294765
1986-01-17,23.145743859082092
1986-01-24,21.349222365869423
1986-01-31,19.631689506571867
1986-02-07,18.044156554929685
1986-02-14,16.627482177486407
1986-02-21,15.426983454920471
1986-02-28,14.421374472866116
1986-03-07,13.642626696832636
1986-03-14,13.07837233354887
1986-03-21,12.76360310277964
1986-03-28,12.681892695539819
1986-04-04,12.78583451842282
1986-04-11,12.976559793148096
1986-04-18,13.26662443438921
1986-04-25,13.618758888170724
1986-05-02,13.990228829993612
1986-05-09,14.259711700064717
1986-05-16,14.429961215255409
1986-05-23,14.451634130575385
1986-05-30,14.328786037491996
1986-06-06,14.064118939883723
1986-06-13,13.689966386554696
1986-06-20,13.277753070459022
1986-06-27,12.938518422753786
1986-07-04,12.684627020038853
1986-07-11,12.569970265029154
1986-07-18,12.631842275371755
1986-07-25,12.865600517129998
1986-08-01,13.229870717517846
1986-08-08,13.672093083387274
1986-08-15,14.103618616677515
1986-08-22,14.49838784744675
1986-08-29,14.805959922430592
1986-09-05,14.993301874596071
1986-09-12,15.088315449256708
1986-09-19,15.10383193277319
1986-09-26,15.052345184227615
1986-10-03,14.983079508726648
1986-10-10,14.902986425339446
1986-10-17,14.851109243697557
1986-10-24,14.8528791208792
1986-10-31,14.884153846153925
1986-11-07,14.9477685843569
1986-11-14,15.07213833225606
1986-11-21,15.251223012281917
1986-11-28,15.489953458306482
1986-12-05,15.78834518422762
1986-12-12,16.157252747252834
1986-12-19,16.591104072398277
1986-12-26,17.040359405300674
1987-01-02,17.444367162249605
1987-01-09,17.780156431803587
1987-01-16,18.023963800905076
1987-01-23,18.177035552682707
1987-01-30,18.24176858435692
1987-02-06,18.225852617970364
1987-02-13,18.15821460892059
1987-02-20,18.093458306399576
1987-02-27,18.049475113122266
1987-03-06,18.043966386554715
1987-03-13,18.087296703296797
1987-03-20,18.186037491919944
1987-03-27,18.318814479638107
1987-04-03,18.466315449256726
1987-04-10,18.60466063348426
1987-04-17,18.747974143503654
1987-04-24,18.89614608920502
1987-05-01,19.038738202973597
1987-05-08,19.16363413057541
1987-05-15,19.29639043309642
1987-05-22,19.45540917905634
1987-05-29,19.646301228183688
1987-06-05,19.85673173884949
1987-06-12,20.087519069166238
1987-06-19,20.330996767938053
1987-06-26,20.57338849385919
1987-07-03,20.77732255979326
1987-07-10,20.928082740788735
1987-07-17,21.011463477698882
1987-07-24,21.020893341952277
1987-07-31,20.939184227537282
1987-08-07,20.77356043956055
1987-08-14,20.54551519069177
1987-08-21,20.3021913380738
1987-08-28,20.075989657401532
1987-09-04,19.883922430510772
1987-09-11,19.74412928248233
1987-09-18,19.659866839043413
1987-09-25,19.62146089204923
1987-10-02,19.615504848093188
1987-10-09,19.632009049773863
1987-10-16,19.63002714932137
1987-10-23,19.582200387847553
1987-10-30,19.4557440206853
1987-11-06,19.267844861021434
1987-11-13,19.02577375565621
1987-11-20,18.745972850678832
1987-11-27,18.422321913380834
1987-12-04,18.092351648351745
1987-12-11,17.785382029735064
1987-12-18,17.527325145442887
1987-12-25,17.31549062702013
1988-01-01,17.16071105365232
1988-01-08,17.05252747252756
1988-01-15,16.983979314802934
1988-01-22,16.91411506140927
1988-01-29,16.835551389786772
1988-02-05,16.73669553975445
1988-02-12,16.639357466063437
1988-02-19,16.543079508726656
1988-02-26,16.476680025856584
1988-03-04,16.437862960568932
1988-03-11,16.462033613445463
1988-03-18,16.560112475759624
1988-03-25,16.728321913380825
1988-04-01,16.93536393018755
1988-04-08,17.162523594053095
1988-04-15,17.368537815126142
1988-04-22,17.539535875888912
1988-04-29,17.651217840982643
1988-05-06,17.689382029735064
1988-05-13,17.62587071751787
1988-05-20,17.47570006464133
1988-05-27,17.269614738203064
1988-06-03,17.024876535229566
1988-06-10,16.750610213316182
1988-06-17,16.471420814479725
1988-06-24,16.202601163542425
1988-07-01,15.99053393665167
1988-07-08,15.825553975436414
1988-07-15,15.69390562378806
1988-07-22,15.600832579185603
1988-07-29,15.550593406593489
1988-08-05,15.50091144149976
1988-08-12,15.428652876535311
1988-08-19,15.325111829347204
1988-08-26,15.192867485455803
1988-09-02,15.03628312863615
1988-09-09,14.843167420814556
1988-09-16,14.615716871364008
1988-09-23,14.3912049127344
1988-09-30,14.198608920491349
1988-10-07,14.04575565610867
1988-10-14,13.930510665804857
1988-10-21,13.876274078862387
1988-10-28,13.906607627666522
1988-11-04,14.01827537168721
1988-11-11,14.192916612799038
1988-11-18,14.455741435035629
1988-11-25,14.81815126050428
1988-12-02,15.251998707175257
1988-12-09,15.71030381383331
1988-12-16,16.15881706528774
1988-12-23,16.583886231415732
1988-12-30,16.99206334841638
1989-01-06,17.326371040724073
1989-01-13,17.564767937944502
1989-01-20,17.737157078215997
1989-01-27,17.879388493859178
1989-02-03,18.00006593406603
1989-02-10,18.10093212669693
1989-02-17,18.241808661926406
1989-02-24,18.46551001939247
1989-03-03,18.7599767291533
1989-03-10,19.090789915966486
1989-03-17,19.42541564318045
1989-03-24,19.765190691661385
1989-03-31,20.110011635423508
1989-04-07,20.39269424692965
1989-04-14,20.56532385261808
1989-04-21,20.641273432450017
1989-04-28,20.644567550097072
1989-05-05,20.5970808015515
1989-05-12,20.499882352941288
1989-05-19,20.38756690368466
1989-05-26,20.305821590174638
1989-06-02,20.245092436974897
1989-06-09,20.18382029734982
1989-06-16,20.112320620556023
1989-06-23,20.033032967033073
1989-06-30,19.94132902391737
1989-07-07,19.81115837104083
1989-07-14,19.62653522947651
1989-07-21,19.420115061409284
