Input,Loss,MAE,MAPE,ME,R2 score,RMSE,Shift
8,0.0007303849561139941,0.7235670108734942,1.8738765261252743,21.551782680279686,0.9979754694138498,1.2758031565471455,0
8,0.001337404944933951,0.9656779141765451,2.5603531458050175,25.567077852132073,0.9967193106981836,1.6237997980573422,1
8,0.0019169123843312263,1.187685168019158,3.146329115138794,26.71761285335802,0.9953846838703329,1.9256587076251046,2
8,0.00247287773527205,1.3667879267650718,3.605128435669874,28.630296707891745,0.9940112007281532,2.1931876487463895,3
8,0.0030338019132614136,1.5268067237151368,4.030376302604497,25.342152196793435,0.9925670911523335,2.443263680397462,4
