Input,Loss,MAE,MAPE,ME,R2 score,RMSE,Shift
4,0.0001393282727804035,0.7418613935564872,1.9717335088966164,18.98074936467485,0.998163745236947,1.2156732064539446,0
5,6.42436498310417e-05,0.6938403420085371,1.854620826815646,18.52802220999517,0.9983563347791763,1.1499697966623184,0
6,7.784190529491752e-05,0.7002944775524788,1.8757010021053282,18.80261989260751,0.9983522960239736,1.151194970266731,0
7,0.0001121957684517838,0.7419104313616236,1.925720051133516,19.913354647550065,0.9978969838164309,1.3005116928357883,0
8,0.00011455089406808838,0.7326088392995757,1.927224076035171,18.140016072794353,0.9981064622414015,1.2338389784239265,0
9,0.00010915933671640232,0.7230024963251669,1.927915304555609,18.777253977182085,0.9982090942659436,1.1997376701730487,0
10,8.50652068038471e-05,0.7117620377537701,1.8853213384738068,19.2085869285784,0.9982852203431294,1.1737693161046183,0
11,8.174956019502133e-05,0.705515573454593,1.880423901654787,18.841891485444222,0.9983216248373787,1.1610486957568926,0
12,9.368088649353012e-05,0.7244360409171707,1.899188502585665,19.577429311739948,0.9980846918976763,1.2402529212446738,0
13,7.759544678265229e-05,0.7072343050568933,1.8735088466002998,19.252403987577424,0.9982938397214345,1.17037436738526,0
14,6.95445341989398e-05,0.6952880227512133,1.8587131613570924,18.7039059839165,0.998361081053882,1.1468762753751924,0
4,0.00014234028640203178,0.7431603497940348,1.9639053538989575,19.283503875065605,0.9981209277109389,1.2295650078568767,1
5,0.00021584810747299343,0.7816210809395783,2.082016725134592,19.484228150377774,0.9979899865710922,1.2714777598165676,1
6,0.00024749303702265024,0.810075236368974,2.128769401367515,20.074333510390446,0.9977668117050893,1.3401568339012795,1
7,0.000246342591708526,0.8140414980907084,2.126973171097133,20.19470874021968,0.997727617294878,1.3516437443785456,1
8,0.0003588524996303022,0.8830646892436679,2.2612104127900805,21.038455332181556,0.9968867677689197,1.581815004817203,1
9,0.000230914811254479,0.7986165636919802,2.105343054309765,20.007353693220054,0.9978257419180128,1.3217037965562368,1
10,0.00013075940660201013,0.7247214789790185,1.929329370694809,19.315770681706937,0.998230898171387,1.192016669224213,1
11,0.0002308873663423583,0.7996358712673897,2.105702381676948,20.14031441331599,0.9977914070705896,1.3318299420916688,1
12,0.00010062743967864662,0.691397044441075,1.8411896007907682,19.593794028382106,0.998320695808683,1.1611265996050997,1
13,0.0002184611075790599,0.7956679322348871,2.083588785159029,20.361420167339148,0.9977257376275345,1.3510086013791363,1
14,0.00018135923892259598,0.7662708133499978,2.0266068499667886,19.833239075377435,0.9979947462430465,1.268366966249088,1
4,0.000540464767254889,0.9654723090110433,2.5196710131473012,19.929666623777393,0.9969483525803777,1.5666661716366512,2
5,0.0005003363476134837,0.9448366416797108,2.468631054905688,19.799403136456306,0.9970792707325519,1.5326345273773216,2
6,0.00028389153885655105,0.8131585333852798,2.157680730244879,19.56919732565187,0.997825583192703,1.3221870502940167,2
7,0.00039286137325689197,0.8823271837108749,2.3259599967808815,19.95149505838681,0.9974514076252311,1.431199321104433,2
