seq_length,train_auc,test_auc
10,0.817648131522837,0.8411174159755566
20,0.8239677577364144,0.8366538249862411
30,0.8164850334205173,0.8399400399733511
40,0.8216128275781205,0.8212165341100034
50,0.816859163756827,0.8329000904159132
60,0.8202049042660396,0.8173109818679439
70,0.8105033732787037,0.8323935558112774
80,0.8214887941273827,0.8229009406572988
90,0.8118838462601418,0.8297585560243788
100,0.8162384820393512,0.8245593280492133
110,0.8147749291235798,0.8346886758101713
120,0.8053128520225294,0.838006230529595
130,0.8035631804684922,0.8401218119527979
