seq_length,train_auc,test_auc
10,0.8721289112456305,0.8148365108105229
20,0.8689527295494498,0.8070806919522941
30,0.8703917710383027,0.8229074889867842
40,0.8667030633479511,0.8274031401784706
50,0.8664807434080946,0.8237305819615117
60,0.854870170540971,0.8177759257054411
70,0.8686188150473866,0.8090690690690691
80,0.8671313641130541,0.819355229669131
90,0.8651493846200368,0.8253638253638255
100,0.8634280056122858,0.8245711464889547
110,0.8617307388071508,0.8265039232781168
120,0.8618920493920493,0.8236329352608422
130,0.8609084980134358,0.8202534886698246
