seq_length,train_auc,test_auc
10,0.8753312302839117,0.8122270742358079
20,0.8752893986356552,0.8172880627484691
30,0.8730847848191758,0.8202092511013216
40,0.8672312879107478,0.8218682932339321
50,0.8682438087911071,0.8222814746116393
60,0.8698555859773447,0.8213477794975592
70,0.8680410198267341,0.8154354354354354
80,0.872111853490604,0.8302023997091261
90,0.8661359581481145,0.8212669683257918
100,0.8685471137634809,0.8227816857953844
110,0.8617268802018822,0.82139743430066
120,0.8681684306684306,0.809553739786298
130,0.8605924082439413,0.8232620663167328
